"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" но отч ,илишер итсач В";"в";"В части решили, что он ";"в";" ";"бегах. ";"Владимир Маканин. Кавказский пленный (1995)";"Владимир Маканин";"1937";"Кавказский пленный";"1995";"художественная";"рассказ";"";"Проза новой России: В 4 т. Т. 2";"2003";"книга";"омонимия снята вручную";"1019";"8564";"н-возраст";"н-уровень";"большая";"В части решили, что он в бегах. ";"935:30:5"
" еола И  еклокувд ан тязову алеТ";"в";"Тела увозят на двуколке  И алое ";"в";" ";"бегах,   Торопится, течет, спешит рекою до";"В. О. Авченко. Примечания к книге «Фадеев» (2017)";"В. О. Авченко";"1980";"Примечания к книге «Фадеев»";"2017";"публицистика | нехудожественная";"комментарий";"частная жизнь";"Авченко В. О. Фадеев";"2017";"книга";"омонимия не снята";"1101";"11793";"н-возраст";"н-уровень";"большая";"Тела увозят на двуколке  И алое в бегах,   Торопится, течет, спешит рекою до зареза,   Железо и железо!  ";"24749:289:6"
" алоп огоксжум шуд нетос йониволоп с";"в";"с половиной сотен душ мужского пола ";"в";" ";"бегах. ";"М. Б. Бару. Самовар лоцмана Воронина. Окончание // «Волга», 2016";"М. Б. Бару";"1958";"Самовар лоцмана Воронина. Окончание";"2016";"публицистика | нехудожественная";"очерк";"искусство и культура | история | путешествия";"«Волга»";"2016";"журнал";"омонимия не снята";"1023";"15881";"н-возраст";"н-уровень";"большая";"Уже в шестидесятые годы семнадцатого века в тех местах числилось около трех с половиной сотен душ мужского пола в бегах. ";"62184:559:18"
" лидоворп инд есв Я";"в";"Я все дни проводил ";"в";" ";"бегах и разъездах. ";"Андрей Клепаков. Опекун // «Волга», 2016";"Андрей Клепаков";"1955";"Опекун";"2016";"художественная";"повесть";"";"«Волга»";"2016";"журнал";"омонимия не снята";"5371";"34988";"н-возраст";"н-уровень";"большая";"Я все дни проводил в бегах и разъездах. ";"62224:1244:4"
"« лыб нисО йиксечитаркомед ― огокснесензоВ имаварп имиксротва";"в";"авторскими правами Вознесенского ― демократический Осин был «";"в";" ";"бегах».)  ";"И. Н. Вирабов. Андрей Вознесенский (2015)";"И. Н. Вирабов";"1959";"Андрей Вознесенский";"2015";"публицистика | нехудожественная";"монография";"искусство и культура | частная жизнь";"И. Н. Вирабов. Андрей Вознесенский";"2015";"книга";"омонимия не снята";"20293";"222730";"н-возраст";"н-уровень";"большая";"Что касается отношений с авторскими правами Вознесенского ― демократический Осин был «в бегах».)  ";"24609:15652:10"
" ьрепет и монодрок аз алилапс от-йокак";"в";"какой-то спалила за кордоном и теперь ";"в";" ";"бегах. ";"Г. С. Зеленина. Куриная Слепота и ее обитательницы // «Волга», 2014";"Г. С. Зеленина";"1978";"Куриная Слепота и ее обитательницы";"2014";"художественная";"повесть";"";"«Волга»";"2014";"журнал";"омонимия не снята";"1742";"25042";"н-возраст";"н-уровень";"большая";"Да потому что Вичка твоя ― поганка, кормит тебя своими шизофреническими байками, а на самом деле торчит тут, потому что музей какой-то спалила за кордоном и теперь в бегах. ";"62072:1127:26"
" ястидохан ноеЛ йынтсачсен отч ,яаверзодоп ,онжомзов";"в";"возможно, подозревая, что несчастный Леон находится ";"в";" ";"бегах по окончании неудачной интрижки с";"Дина Рубина. Русская канарейка. Блудный сын (2014)";"Дина Рубина";"1953";"Русская канарейка. Блудный сын";"2014";"художественная";"роман";"";"Д. И. Рубина. Русская канарейка. Блудный сын";"2015";"книга";"омонимия не снята";"7268";"96826";"н-возраст";"н-уровень";"очень большая";"При виде ее исхудалого лица, нервно жестикулирующих рук, всклокоченной головы люди недоумевали и отводили глаза ― возможно, подозревая, что несчастный Леон находится в бегах по окончании неудачной интрижки с этой ободранной кошкой. ";"23794:5377:21"
"";"В";"";"В";" ";"бегах уже второй месяц. ";"Андрей Битов. Что-то с любовью… // «Октябрь», 2013";"Андрей Битов";"1937";"Что-то с любовью…";"2013";"художественная";"повесть";"";"«Октябрь»";"2013";"журнал";"омонимия не снята";"3404";"25007";"н-возраст";"н-уровень";"большая";"В бегах уже второй месяц. ";"60818:3015:0"
" аубаЧ отч ,иланз мадоР и чивеьдакрА";"в";"Аркадьевич и Родам знали, что Чабуа ";"в";" ";"бегах, что он объявлен во всесоюзный";"Борис Мессерер. Промельк Беллы. Главы из книги // «Октябрь», 2013";"Борис Мессерер";"1933";"Промельк Беллы. Главы из книги";"2013";"публицистика | нехудожественная";"мемуары";"";"«Октябрь»";"2013";"журнал";"омонимия не снята";"1580";"20117";"н-возраст";"н-уровень";"большая";"Михаил Аркадьевич и Родам знали, что Чабуа в бегах, что он объявлен во всесоюзный розыск, но о приезде его не догадывались. ";"60679:716:7"
" лыб ибиждэримА аубаЧ адгок ,инемерв о";"в";"о времени, когда Чабуа Амирэджиби был ";"в";" ";"бегах. ";"Борис Мессерер. Промельк Беллы. Главы из книги // «Октябрь», 2013";"Борис Мессерер";"1933";"Промельк Беллы. Главы из книги";"2013";"публицистика | нехудожественная";"мемуары";"";"«Октябрь»";"2013";"журнал";"омонимия не снята";"1580";"20117";"н-возраст";"н-уровень";"большая";"Так Белла рассказывала о времени, когда Чабуа Амирэджиби был в бегах. ";"60679:736:9"
