"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" ,йонреч и йокдалг ,ынибылг йонморго олоко";"как";"около огромной глыбины, гладкой и черной, ";"как";" ";"бегемот, опустившийся на колени, крутились клочья";"Ю. О. Домбровский. Хранитель древностей, часть 2 (1964)";"Ю. О. Домбровский";"1909";"Хранитель древностей, часть 2";"1964";"художественная";"роман";"";"Домбровский Ю.О. Собр. соч.: В 6 т. Т. 4";"1992";"книга";"омонимия снята вручную";"4648";"42243";"н-возраст";"н-уровень";"большая";"У больших камней вскипали водяные воронки и мелкие буруны, а на самой середине ее, около огромной глыбины, гладкой и черной, как бегемот, опустившийся на колени, крутились клочья сердитой пены, листья и какой-то сор. ";"896:155:20"
" ,йывородз ,йынреЧ";"как";"Черный, здоровый, ";"как";" ";"бегемот. ";"М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940)";"М. А. Булгаков";"1891";"Мастер и Маргарита, часть 1";"1929-1940";"художественная";"роман";"";"Булгаков М.А. Избранная проза";"1966";"книга";"омонимия снята вручную";"4826";"60119";"н-возраст";"н-уровень";"большая";"Черный, здоровый, как бегемот. ";"2055:4167:2"
" ,алертомс ямерв еж от в и";"как";"и в то же время смотрела, ";"как";" ";"Бегемот намазывает горчицей устрицу. ";"М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940)";"М. А. Булгаков";"1891";"Мастер и Маргарита, часть 2";"1929-1940";"художественная";"роман";"";"Булгаков М.А. Избранная проза";"1966";"книга";"омонимия снята вручную";"4198";"52794";"н-возраст";"н-уровень";"большая";"Никакого опьянения Маргарита не чувствовала, кусая белыми зубами мясо, Маргарита упивалась текущим из него соком и в то же время смотрела, как Бегемот намазывает горчицей устрицу. ";"2056:1444:21"
" ,имаминонис имынтюлосба еж имикат илыб адгесв";"как";"всегда были такими же абсолютными синонимами, ";"как";" «";"бегемот» и «гиппопотам». ";"Л. А. Данилкин. Ленин: Пантократор солнечных пылинок (2017)";"Л. А. Данилкин";"1974";"Ленин: Пантократор солнечных пылинок";"2017";"публицистика | нехудожественная";"биография";"история | политика и общественная жизнь";"Данилкин Л. А., Ленин: «Пантократор солнечных пылинок»";"2017";"книга";"омонимия не снята";"9832";"272710";"н-возраст";"н-уровень";"большая";"Хорошо, по крайней мере, что с этих монументальных артефактов не надо сдувать пыль истории; слова «немцы» и «гигиена» всегда были такими же абсолютными синонимами, как «бегемот» и «гиппопотам». ";"22478:2041:24"
" но ладыр ― »!обисапС";"как";"Спасибо!» ― рыдал он ";"как";" ";"бегемот, уводимый от всех Коткиным и";"В. М. Шапко. Синдром веселья Плуготаренко // «Волга», 2016";"В. М. Шапко";"1938";"Синдром веселья Плуготаренко";"2016";"художественная";"роман";"";"«Волга»";"2016";"журнал";"омонимия не снята";"10337";"71003";"н-возраст";"н-уровень";"большая";"Спасибо!» ― рыдал он как бегемот, уводимый от всех Коткиным и его женой. ";"62226:10104:3"
" ,типс намтав А   ,ахапереч как ,тёзлоп";"как";"ползёт, как черепаха,   А ватман спит, ";"как";" ";"бегемот,   Кондуктор лает, как собака:   «Пройдите";"Аркадий Мацанов. В следующем году в Одессе! // «Ковчег», 2013";"Аркадий Мацанов";"1934";"В следующем году в Одессе!";"2013";"художественная";"повесть";"";"«Ковчег»";"2013";"журнал";"омонимия не снята";"1576";"11510";"н-возраст";"н-уровень";"большая";"Трамвай ползёт, как черепаха,   А ватман спит, как бегемот,   Кондуктор лает, как собака:   «Пройдите, граждане, впирод!»  ";"60406:63:7"
" ,яатслот анвовалсинатС яилЮ а ,яависарк ибраБ";"как";"Барби красивая, а Юлия Станиславовна толстая, ";"как";" ";"бегемот. ";"Дина Сабитова. Где нет зимы (2011)";"Дина Сабитова";"1969";"Где нет зимы";"2011";"художественная";"повесть";"";"Д. Р. Сабитова. Цирк в шкатулке";"2007";"книга";"омонимия не снята";"5228";"41033";"детский";"н-уровень";"большая";"Только Барби красивая, а Юлия Станиславовна толстая, как бегемот. ";"19516:851:7"
"";"каК";"";"Как";" ";"бегемот с аденоидами, ― отвечаю. ";"Дина Сабитова. Где нет зимы (2011)";"Дина Сабитова";"1969";"Где нет зимы";"2011";"художественная";"повесть";"";"Д. Р. Сабитова. Цирк в шкатулке";"2007";"книга";"омонимия не снята";"5228";"41033";"детский";"н-уровень";"большая";"Как бегемот с аденоидами, ― отвечаю. ";"19516:5052:0"
" ,алшоп и иктерубат с ьсаляндоп модурт";"как";"трудом поднялась с табуретки и пошла, ";"как";" ";"бегемот по мостику в цирке. ";"Михаил Гиголашвили. Чертово колесо (2007)";"Михаил Гиголашвили";"1954";"Чертово колесо";"2007";"художественная";"роман";"";"М. Гиголашвили. Чертово колесо";"2009";"книга";"омонимия не снята";"22392";"188010";"н-возраст";"н-уровень";"большая";"Официантка с трудом поднялась с табуретки и пошла, как бегемот по мостику в цирке. ";"22751:5946:8"
" теахыдзв чивортеП леваП";"как";"Павел Петрович вздыхает ";"как";" ";"бегемот и садится. ";"Андрей Геласимов. Год обмана (2003)";"Андрей Геласимов";"1966";"Год обмана";"2003";"художественная";"роман";"";"А. Геласимов. Год обмана";"2003";"книга";"омонимия не снята";"12013";"77705";"н-возраст";"н-уровень";"большая";"Павел Петрович вздыхает как бегемот и садится. ";"22743:2889:3"
