"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" лыб неджуныв но и ,ужум иобоп";"ясьтасапс";"побои мужу, и он вынужден был ";"спасаться";" ";"бегством, а то и вовсе уходил";"Марина Бутовская. Антропология пола (2022)";"Марина Бутовская";"1959";"Антропология пола";"2022";"учебно-научная";"монография";"наука и технологии | биология | социология";"Антропология пола / М. Л. Бутовская";"2022";"книга";"омонимия не снята";"3534";"63385";"н-возраст";"н-уровень";"большая";"Супруги просто дерутся друг с другом, а в интервью с хадза мы даже слышали, что в ряде случае жена наносила побои мужу, и он вынужден был спасаться бегством, а то и вовсе уходил от нее. ";"131140:1162:26"
" ьсолширп ииссимокдоп юлетадесдерп йитыбос утсем к";"ясьтасапс";"к месту событий председателю подкомиссии пришлось ";"спасаться";" ";"бегством от преследовавших его с камнями";"М. В. Шкаровский. Новомученики Путиловского храма Санкт-Петербурга // «Актуальные вопросы современного богословия и церковной науки», 2018";"М. В. Шкаровский";"";"Новомученики Путиловского храма Санкт-Петербурга";"2018";"публицистика | нехудожественная";"статья";"религия | история";"«Актуальные вопросы современного богословия и церковной науки»";"2018";"журнал";"омонимия не снята";"335";"6111";"н-возраст";"н-уровень";"большая";"Прибывшему вскоре к месту событий председателю подкомиссии пришлось спасаться бегством от преследовавших его с камнями рабочих. ";"50674:115:8"
" ыботч ,огот отсемв ,йыроток ,рекйаб нидо";"ясьтасапс";"один байкер, который, вместо того, чтобы ";"спасаться";" ";"бегством, попробовал обезвредить убийцу. ";"Сергей Шелин. Всемирная прохиндиада — 2016 (27.07.2016) // Росбалт, 2016";"Сергей Шелин";"";"Всемирная прохиндиада — 2016";"27.07.2016";"публицистика | нехудожественная";"статья";"администрация и управление | политика и общественная жизнь";"Росбалт";"2016";"электронное издание";"омонимия не снята";"83";"1244";"н-возраст";"н-уровень";"большая";"Во время двухкилометрового террористического рейда в Ницце в огромной толпе нашелся только один байкер, который, вместо того, чтобы спасаться бегством, попробовал обезвредить убийцу. ";"54193:68:18"
" тедуб онжун адгот и ,ужуран ьтерепоп";"ясьтасапс";"попереть наружу, и тогда нужно будет ";"спасаться";" ";"бегством по кирпичам. ";"А. Б. Сальников. Отдел // «Волга», 2015";"А. Б. Сальников";"1978";"Отдел";"2015";"художественная";"роман";"";"«Волга»";"2015";"журнал";"омонимия не снята";"6453";"102613";"н-возраст";"н-уровень";"большая";"Дергая за веревочку смыва, Игорь был уже морально готов, что вода или совсем не польется, или хлынет потоком, как из брандспойта, также он был готов, что вода или ухнет куда-то в жерло унитаза, не оставив в самом унитазе ни капли жидкости, а жидкость будет клокотать где-то в глубинах слива, будто унося за собой дома, машины, деревья, или попрет обратно, был готов, что она может остановиться вровень с краями унитаза или может попереть наружу, и тогда нужно будет спасаться бегством по кирпичам. ";"62133:1644:77"
" ешьлоб ясьшеарибос ен ыт ьрепет ,О";"ясьтасапс";"О, теперь ты не собираешься больше ";"спасаться";" ";"бегством; как затравленный зверь, шерсть в";"Алена Браво. Комендантский час для ласточек // «Сибирские огни», 2012";"Алена Браво";"1966";"Комендантский час для ласточек";"2012";"художественная";"повесть";"";"«Сибирские огни»";"2012";"журнал";"омонимия не снята";"1741";"27112";"н-возраст";"н-уровень";"средняя";"О, теперь ты не собираешься больше спасаться бегством; как затравленный зверь, шерсть в подпалинах, лапа перебита, ― ты поняла, что убегать тебе, именно тебе, некуда. ";"59644:1690:6"
" ьсолширп отч ,ьчелвзар и ьтимрокан сан";"ясьтасапс";"нас накормить и развлечь, что пришлось ";"спасаться";" ";"бегством. ";"Д. Е. Верясова. Муляка // «Волга», 2012";"Д. Е. Верясова";"1985";"Муляка";"2012";"художественная";"повесть";"";"«Волга»";"2012";"журнал";"омонимия не снята";"1148";"11520";"н-возраст";"н-уровень";"большая";"Невесть откуда набежавшие МЧСовцы ― молодые здоровые парни ― так упорно пытались нас накормить и развлечь, что пришлось спасаться бегством. ";"61872:265:16"
" ароп отч ,удовыв к леширп ― ,иицнетопми";"ясьтасапс";"импотенции, ― пришел к выводу, что пора ";"спасаться";" ";"бегством. ";"Маша Трауб. Ласточ…ка (2012)";"Маша Трауб";"1976";"Ласточ…ка";"2012";"художественная";"роман";"";"Маша Трауб. Ласточ…ка";"2012";"книга";"омонимия не снята";"5638";"43461";"н-возраст";"н-уровень";"большая";"Но когда Ольга стала подкладывать ему в чай мед с маральим корнем ― Юрик на банке прочел, что корень ― народное средство от импотенции, ― пришел к выводу, что пора спасаться бегством. ";"24494:5364:27"
" ястедирп — цемен и реК-еркаС ,я а";"ясьтасапс";"а я, Сакре-Кер и немец — придется ";"спасаться";" ";"бегством. ";"Лариса Пузикова. Путь в Париж / Впереди целая вечность // «Ковчег», 2012";"Лариса Пузикова";"";"Путь в Париж / Впереди целая вечность";"2012";"художественная";"рассказ";"";"«Ковчег»";"2012";"журнал";"омонимия не снята";"140";"1546";"н-возраст";"н-уровень";"большая";"Это уже не я и Сакре-Кер, а я, Сакре-Кер и немец — придется спасаться бегством. ";"60341:116:12"
" ястёдирп енм илсе :йотсорп лыб тёчсаР";"ясьтасапс";"Расчёт был простой: если мне придётся ";"спасаться";" ";"бегством, то пусть запасное такси ждёт";"Игорь Сахновский. Острое чувство субботы. Восемь историй от первого лица (2012)";"Игорь Сахновский";"1958";"Острое чувство субботы. Восемь историй от первого лица";"2012";"художественная";"роман";"";"И. Сахновский, «Острое чувство субботы. Восемь историй от первого лица», АСТ. Москва. 2012";"2012";"книга";"омонимия не снята";"3742";"43222";"н-возраст";"н-уровень";"большая";"Расчёт был простой: если мне придётся спасаться бегством, то пусть запасное такси ждёт неподалёку. ";"23837:3537:6"
" ьсолширп унесреФ ноф и ,инмак илетелоп";"ясьтасапс";"полетели камни, и фон Ферсену пришлось ";"спасаться";" ";"бегством. ";"Григорий Гольденцвайг. Стокгольм (2011)";"Григорий Гольденцвайг";"";"Стокгольм";"2011";"публицистика | нехудожественная";"путеводитель";"путешествия | история | досуг, зрелища и развлечения";"Стокгольм. Путеводители «Афиши»";"2011";"книга";"омонимия не снята";"4568";"53963";"н-возраст";"н-уровень";"большая";"На похоронной процессии в Стокгольме в карету маршала полетели камни, и фон Ферсену пришлось спасаться бегством. ";"23766:943:14"
" одан а ,укеволеч ьтаватссов язьлен ярхив";"ясьтасапс";"вихря нельзя восставать человеку, а надо ";"спасаться";" ";"бегством, только бегством. ";"В. Г. Галактионова. Спящие от печали (2010)";"В. Г. Галактионова";"1948";"Спящие от печали";"2010";"художественная";"роман";"";"В. Г. Галактионова. Спящие от печали";"2011";"книга";"омонимия не снята";"7809";"67906";"н-возраст";"н-уровень";"большая";"Если был бы сын трезвым, то вспомнил бы: против огня, воды и вихря нельзя восставать человеку, а надо спасаться бегством, только бегством. ";"22704:1186:18"
" одан а ,укеволеч ьтаватссов язьлен ыболз";"ясьтасапс";"злобы нельзя восставать человеку, а надо ";"спасаться";" ";"бегством, только бегством. ";"В. Г. Галактионова. Спящие от печали (2010)";"В. Г. Галактионова";"1948";"Спящие от печали";"2010";"художественная";"роман";"";"В. Г. Галактионова. Спящие от печали";"2011";"книга";"омонимия не снята";"7809";"67906";"н-возраст";"н-уровень";"большая";"Да, против огня, воды, вихря и женской злобы нельзя восставать человеку, а надо спасаться бегством, только бегством. ";"22704:1197:13"
