"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" ьтаритс ,удох ан ьтидалГ";"ан";"Гладить на ходу, стирать ";"на";" ";"бегу―быстрее, быстрее, некогда!  ";"Александр Волков. Одеться с иголочки и без ниточки // «Знание -- сила», 2003";"Александр Волков";"";"Одеться с иголочки и без ниточки";"2003";"учебно-научная";"статья";"наука и технологии";"«Знание -- сила»";"2003";"журнал";"омонимия снята вручную";"183";"1695";"н-возраст";"н-уровень";"большая";"Гладить на ходу, стирать на бегу―быстрее, быстрее, некогда!  ";"1728:74:4"
"";"аН";"";"На";" ";"бегу фельдшер все ждал: срежет!  ";"Василь Быков. Болото (2001)";"Василь Быков";"1924";"Болото";"2001";"художественная";"повесть";"";"Василь Быков. «Бедные люди»";"2002";"книга";"омонимия снята вручную";"1444";"16139";"н-возраст";"н-уровень";"большая";"На бегу фельдшер все ждал: срежет!  ";"879:1391:0"
" онневтстевирп тенхам окьлот от-отК";"ан";"Кто-то только махнет приветственно ";"на";" ";"бегу кипой бумажек ― может, в архив";"Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001";"Андрей Волос";"1955";"Недвижимость";"2000";"художественная";"роман";"";"«Новый Мир»";"2001";"журнал";"омонимия снята вручную";"9706";"79718";"н-возраст";"н-уровень";"большая";"Кто-то только махнет приветственно на бегу кипой бумажек ― может, в архив несется, а может, занять очередь к начальнику юридического отдела, без визы которого регистратору нельзя совершить то или иное нештатное действие… ";"967:8627:4"
" тоВ";"ан";"Вот ";"на";" ";"бегу поговорили в Благовещенске, в аэропорту. ";"Анатолий Чубайс, Елена Трегубова. Власть должна быть жесткой // «Коммерсантъ-Власть», 2000";"Анатолий Чубайс | Елена Трегубова";"";"Власть должна быть жесткой";"2000";"публицистика";"интервью";"политика и общественная жизнь";"«Коммерсантъ-Власть»";"2000";"журнал";"омонимия снята вручную";"302";"3316";"н-возраст";"н-уровень";"большая";"Вот на бегу поговорили в Благовещенске, в аэропорту. ";"1491:59:1"
" ,удох ан еыврепв ,йулажоп ,ламудоп ,акев";"ан";"века, подумал, пожалуй, впервые на ходу, ";"на";" ";"бегу в дни разных хлопот, связанных";"Игорь Кио. Иллюзии без иллюзий (1995-1999)";"Игорь Кио";"1944";"Иллюзии без иллюзий";"1995-1999";"публицистика";"мемуары";"";"Игорь Кио. Иллюзии без иллюзий";"1999";"книга";"омонимия снята вручную";"6009";"79725";"н-возраст";"н-уровень";"большая";"Про то, что отец старше меня на полвека, подумал, пожалуй, впервые на ходу, на бегу в дни разных хлопот, связанных с его столетним юбилеем. ";"1550:124:14"
" ― ,йотипыв ьтыб екнитревтеч олашем отч ,огесв";"ан";"всего, что мешало четвертинке быть выпитой, ― ";"на";" ";"бегу скрутив горлышко бутылки.  ";"Анатолий Азольский. Облдрамтеатр // «Новый Мир», 1997";"Анатолий Азольский";"1930";"Облдрамтеатр";"1997";"художественная";"повесть";"";"«Новый Мир»";"1997";"журнал";"омонимия снята вручную";"594";"15599";"н-возраст";"н-уровень";"большая";"Не раздумывая он бросился прочь ― от милиции, от продавщицы, от всего, что мешало четвертинке быть выпитой, ― на бегу скрутив горлышко бутылки.  ";"874:196:16"
" ьтялертс кивеоб еж или( ынялертссар ынортап";"ан";"патроны расстреляны (или же боевик стрелять ";"на";" ";"бегу был неловок?)  ";"Владимир Маканин. Кавказский пленный (1995)";"Владимир Маканин";"1937";"Кавказский пленный";"1995";"художественная";"рассказ";"";"Проза новой России: В 4 т. Т. 2";"2003";"книга";"омонимия снята вручную";"1019";"8564";"н-возраст";"н-уровень";"большая";"Второго (тот был уже совсем близко) Рубахин не опасался, он видел болтающийся на шее автомат, но патроны расстреляны (или же боевик стрелять на бегу был неловок?)  ";"935:396:22"
" йе еищюасорб олесев ,еыннатипсов ,еывилжев оннемзиен";"ан";"неизменно вежливые, воспитанные, весело бросающие ей ";"на";" ";"бегу: «Привет, баб Тонь!», а попозже";"Ирина Муравьева. Мещанин во дворянстве (1994)";"Ирина Муравьева";"1949";"Мещанин во дворянстве";"1994";"художественная";"повесть";"";"Муравьева И. Филемон и Бавкида";"2000";"книга";"омонимия снята вручную";"2138";"19229";"н-возраст";"н-уровень";"большая";"Но баловство было свое, родное, и все в этом доме, где она, старая, с узловатыми пальцами, день-деньской сидела на стуле и вязала носки, было таким родным, милым сердцу, что сердце это с радостной привычкой отзывалось на всякое хлопанье двери лифта, откуда выходили, не торопясь, располневшие мужчины в ондатровых шапках, выбегали их дети, поступившие в МИМО и в Иняз, неизменно вежливые, воспитанные, весело бросающие ей на бегу: «Привет, баб Тонь!», а попозже, часам так к одиннадцати, задерживались у ее стула на пару фраз когда-то красивые, старательно припудренные, с набухшими мешочками под озабоченными глазами женщины, вкусно пахнущие питательными кремами, давно не работающие и горько ревнующие своих располневших, чисто выбритых, в добротных дубленках мужей… ";"937:10:64"
" ежу ― ,аД";"ан";"Да, ― уже ";"на";" ";"бегу отзывался отец. ";"Ирина Муравьева. Мещанин во дворянстве (1994)";"Ирина Муравьева";"1949";"Мещанин во дворянстве";"1994";"художественная";"повесть";"";"Муравьева И. Филемон и Бавкида";"2000";"книга";"омонимия снята вручную";"2138";"19229";"н-возраст";"н-уровень";"большая";"Да, ― уже на бегу отзывался отец. ";"937:1375:2"
" ястеавичаробо нО";"ан";"Он оборачивается ";"на";" ";"бегу, но ничего не отвечает. ";"Сергей Юрский. Бумажник Хофманна (1993)";"Сергей Юрский";"1935";"Бумажник Хофманна";"1993";"художественная";"рассказ";"";"Проза новой России: В 4 т.";"2003";"книга";"омонимия снята вручную";"760";"5149";"н-возраст";"н-уровень";"большая";"Он оборачивается на бегу, но ничего не отвечает. ";"932:711:2"
" яавысуказ ,ьтяпсв яслитакоп И";"ан";"И покатился вспять, закусывая ";"на";" ";"бегу дохлым вороньем. ";"Юрий Давыдов. Синие тюльпаны (1988-1989)";"Юрий Давыдов";"1924";"Синие тюльпаны";"1988-1989";"художественная";"роман";"";"Юрий Давыдов. Жемчужины Филда";"1997";"книга";"омонимия снята вручную";"3446";"41642";"н-возраст";"н-уровень";"большая";"И покатился вспять, закусывая на бегу дохлым вороньем. ";"883:1670:4"
" ,дорог аз ястусен еыроток ,йедюл имаплот";"ан";"толпами людей, которые несутся за город, ";"на";" ";"бегу жалуясь, что сегодня плохо либо";"Марина Палей. Поминовение (1987)";"Марина Палей";"1955";"Поминовение";"1987";"художественная";"повесть";"";"Палей М. Long Distance или Славянский акцент";"2000";"книга";"омонимия снята вручную";"812";"15265";"н-возраст";"н-уровень";"большая";"Вы рискуете быть сбитыми с ног толпами людей, которые несутся за город, на бегу жалуясь, что сегодня плохо либо оттого, что холодно, либо оттого, что жарко, либо оттого, что сухо, либо оттого, что идет дождь. ";"940:92:12"
