"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" КАК ,АМРОФЕР";"АДЕБ";"РЕФОРМА, КАК ";"БЕДА";", ";"НЕ ПРИХОДИТ ОДНА ";"Елена Калашникова. Реформа, как беда, не приходит одна // «Новороссийский рабочий», 2003.01.16";"Елена Калашникова";"";"Реформа, как беда, не приходит одна";"2003";"публицистика";"комментарий";"политика и общественная жизнь";"«Новороссийский рабочий»";"2003.01.16";"газета";"омонимия снята вручную";"19";"307";"н-возраст";"н-уровень";"большая";"РЕФОРМА, КАК БЕДА, НЕ ПРИХОДИТ ОДНА ";"690:0:2"
" оН";"адеб";"Но ";"беда";" ";"не приходит одна… ";"А. Г. Колмогоров. Мне доставшееся: Семейные хроники Надежды Лухмановой (2012)";"А. Г. Колмогоров";"1945";"Мне доставшееся: Семейные хроники Надежды Лухмановой";"2012";"публицистика";"биография | дневник, записные книжки";"история | религия | частная жизнь";"Колмогоров Александр. Мне доставшееся: Семейные хроники Надежды Лухмановой. М.: Аграф, 2013";"2013";"книга";"омонимия не снята";"8724";"122234";"н-возраст";"н-уровень";"большая";"Но беда не приходит одна… ";"23143:7925:1"
" ― аламуд мотэ бо ежот яаР ятеТ";"адеб";"Тетя Рая тоже об этом думала ― ";"беда";" ";"не приходит одна. ";"Маша Трауб. Замочная скважина (2012)";"Маша Трауб";"1976";"Замочная скважина";"2012";"художественная";"роман";"";"Маша Трауб. Замочная скважина";"2012";"книга";"омонимия не снята";"5954";"51123";"н-возраст";"н-уровень";"большая";"Тетя Рая тоже об этом думала ― беда не приходит одна. ";"24498:2199:6"
" ― отэ и еще яндогес а ,яисевонвар";"адеб";"равновесия, а сегодня еще и это ― ";"беда";" ";"не приходит одна… ";"Е. В. Колина. Дневник измены (2011)";"Е. В. Колина";"1959";"Дневник измены";"2011";"художественная";"роман";"";"Хорошее настроение (сборник)";"2011";"книга";"омонимия не снята";"6936";"77347";"н-возраст";"н-уровень";"большая";"Я едва достиг душевного равновесия, а сегодня еще и это ― беда не приходит одна… ";"23142:6356:10"
"";"адеБ";"";"Беда";" ";"не приходит одна: она знает, что";"Сергей Дигол. Мои пыльные ноши // «Волга», 2010";"Сергей Дигол";"1976";"Мои пыльные ноши";"2010";"художественная";"рассказ";"";"«Волга»";"2010";"журнал";"омонимия не снята";"488";"8442";"н-возраст";"н-уровень";"большая";"Беда не приходит одна: она знает, что я знаю, с чем связано отсутствие тещи. ";"61636:446:0"
"";"адеБ";"";"Беда";" ";"не приходит одна. ";"Р. Э. Арбитман. Баллада о Королевском Бутерброде // «Волга», 2009";"Р. Э. Арбитман";"1962";"Баллада о Королевском Бутерброде";"2009";"публицистика | нехудожественная";"рецензия";"искусство и культура";"«Волга»";"2009";"журнал";"омонимия не снята";"49";"836";"н-возраст";"н-уровень";"большая";"Беда не приходит одна. ";"61552:27:0"
" оН";"адеб";"Но ";"беда";" ";"не приходит одна. ";"С. Аксентьев. Две судьбы, разделенные двумя веками // «Наука и жизнь», 2008";"С. Аксентьев";"";"Две судьбы, разделенные двумя веками";"2008";"учебно-научная | нехудожественная";"статья";"история";"«Наука и жизнь»";"2008";"журнал";"омонимия не снята";"230";"3461";"н-возраст";"н-уровень";"большая";"Но беда не приходит одна. ";"37403:83:1"
" оН";"адеб";"Но ";"беда";" ";"не приходит одна ― наряды из заветного";"Варвара Синицына. Муза и генерал (2002)";"Варвара Синицына";"";"Муза и генерал";"2002";"художественная";"роман";"";"Варвара Синицына. Муза и генерал";"2002";"книга";"омонимия не снята";"5791";"63255";"н-возраст";"н-уровень";"большая";"Но беда не приходит одна ― наряды из заветного чемодана теперь болтались на адмиральше как на швабре. ";"52888:3659:1"
" ,адгесв и каК";"адеб";"Как и всегда, ";"беда";" ";"не приходит одна!.. ";"Георгий Жженов. Прожитое (2002)";"Георгий Жженов";"1915";"Прожитое";"2002";"публицистика | нехудожественная";"мемуары";"";"Георгий Жженов. Прожитое";"2002";"книга";"омонимия не снята";"5043";"53570";"н-возраст";"н-уровень";"большая";"Как и всегда, беда не приходит одна!.. ";"53844:2011:3"
" И";"адеб";"И ";"беда";" ";"не приходит одна. ";"Дарья Симонова. Легкие крылышки (2002)";"Дарья Симонова";"1972";"Легкие крылышки";"2002";"художественная";"повесть";"";"Дарья Симонова. Половецкие пляски";"2002";"книга";"омонимия не снята";"883";"10171";"н-возраст";"н-уровень";"большая";"И беда не приходит одна. ";"24224:584:1"
