"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" отч ,юинедевс к отянирп онвад юонм";"адеб";"мною давно принято к сведению, что ";"беда";" ";"одна не ходит, пусть так, но";"Валериан Скворцов. Каникулы вне закона (2001)";"Валериан Скворцов";"1935";"Каникулы вне закона";"2001";"художественная";"роман";"";"Валериан Скворцов. Каникулы вне закона";"2001";"книга";"омонимия не снята";"9298";"88788";"н-возраст";"н-уровень";"большая";"Господи, помолился я, мною давно принято к сведению, что беда одна не ходит, пусть так, но сделай все возможное, чтобы это не касалось Колюни или Наташи, я отработаю Тебе. ";"52889:6735:9"
"";"адеБ";"";"Беда";" ";"одна не ходит!» ― промелькнула у Павла";"Сергей Таранов. Черт за спиной (2001)";"Сергей Таранов";"1948";"Черт за спиной";"2001";"художественная";"роман";"";"Сергей Таранов. Черт за спиной";"2001";"книга";"омонимия не снята";"6772";"69224";"н-возраст";"н-уровень";"большая";"Беда одна не ходит!» ― промелькнула у Павла Николаевича мысль. ";"52891:2783:0"
"";"адеБ";"";"Беда";" ";"одна не ходит!» ― кряхтел мэр и";"Сергей Таранов. Черт за спиной (2001)";"Сергей Таранов";"1948";"Черт за спиной";"2001";"художественная";"роман";"";"Сергей Таранов. Черт за спиной";"2001";"книга";"омонимия не снята";"6772";"69224";"н-возраст";"н-уровень";"большая";"Беда одна не ходит!» ― кряхтел мэр и подписывал, переадресовывал, раскладывал документы на столе, как сложный административный пасьянс. ";"52891:4056:0"
" ― тяровог удварп ,вохатС азалг лырказ ,олатавх";"адеб";"хватало, закрыл глаза Стахов, правду говорят ― ";"беда";" ";"одна не ходит… ";"Андрей Лазарчук. Там вдали, за рекой… (1986)";"Андрей Лазарчук";"1958";"Там вдали, за рекой…";"1986";"художественная";"повесть";"";"А. Лазарчук. Сентиментальное путешествие на двухместной машине времени";"2003";"книга";"омонимия не снята";"2578";"21446";"н-возраст";"н-уровень";"большая";"Этих только не хватало, закрыл глаза Стахов, правду говорят ― беда одна не ходит… ";"23226:1164:9"
"";"адеБ";"";"Беда";" ";"одна не ходит. ";"Б. Б. Вахтин. Надежда Платоновна Горюнова (1980)";"Б. Б. Вахтин";"1930";"Надежда Платоновна Горюнова";"1980";"художественная";"повесть";"";"Портрет незнакомца. Сочинения";"2010";"книга";"омонимия не снята";"1692";"27687";"н-возраст";"н-уровень";"большая";"Беда одна не ходит. ";"24561:1308:0"
"«  :ьсоламуд инемерв то ямерв асач ирт";"адеБ";"три часа время от времени думалось:  «";"Беда";" ";"одна не ходит!»  ";"Виль Липатов. Деревенский детектив/ Три зимних дня (1967-1968)";"Виль Липатов";"1927";"Деревенский детектив/ Три зимних дня";"1967-1968";"художественная";"повесть";"";"Липатов В. Собр. соч.: В 4-х т. Т. 2";"1983";"книга";"омонимия не снята";"2700";"34677";"н-возраст";"н-уровень";"очень большая";"Так все эти три часа время от времени думалось:  «Беда одна не ходит!»  ";"23251:143:9"
"";"адеБ";"";"Беда";" ";"одна не ходит. ";"И. В. Евдокимов. Левитан (1940)";"И. В. Евдокимов";"1887";"Левитан";"1940";"художественная";"повесть";"";"И. В. Евдокимов. Левитан";"1940";"книга";"омонимия не снята";"4832";"48389";"н-возраст";"н-уровень";"большая";"Беда одна не ходит. ";"75203:1127:0"
"";"адеБ";"";"Беда";" ";"одна не ходит». ";"А. И. Куприн. Яма (1909-1915)";"А. И. Куприн";"1870";"Яма";"1909-1915";"художественная";"повесть";"";"А. И. Куприн. Собрание сочинений, Том 5";"1958";"книга";"омонимия не снята";"7468";"89377";"н-возраст";"н-уровень";"очень большая";"Беда одна не ходит». ";"76807:2232:0"
" отч ,тяровоГ";"адеб";"Говорят, что ";"беда";" ";"одна не ходит, а беда беду";"А. В. Амфитеатров. Княжна (1889-1895)";"А. В. Амфитеатров";"1862";"Княжна";"1889-1895";"художественная";"роман";"";"А. В. Амфитеатров. Собрание сочинений в 10 томах. Т. 1";"2000";"книга";"омонимия не снята";"6311";"68808";"н-возраст";"н-уровень";"большая";"Говорят, что беда одна не ходит, а беда беду ведет. ";"62751:1607:2"
"« отч ,еьревоп ,хикссур у ,сан у";"адеБ";"у нас, у русских, поверье, что «";"Беда";" ";"одна не ходит, а беда за";"М. Ф. Каменская. Воспоминания (1894)";"М. Ф. Каменская";"1817";"Воспоминания";"1894";"публицистика | нехудожественная";"мемуары";"";"М. Каменская. Воспоминания";"1991";"книга";"омонимия не снята";"5126";"83857";"н-возраст";"н-уровень";"большая";"Есть у нас, у русских, поверье, что «Беда одна не ходит, а беда за собою беду ведет». ";"64706:4466:7"
