"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" И";"ен";"И ";"не";" ";"беда, что нет шедевров― они опять";"Ольга Кабанова, Николай Молок. От Пуссена до Шагала. Пушкинский музей открыл сразу две выставки французского искусства // «Известия», 2002.10.08";"Ольга Кабанова | Николай Молок";"";"От Пуссена до Шагала. Пушкинский музей открыл сразу две выставки французского искусства";"2002";"публицистика";"статья";"искусство и культура";"«Известия»";"2002.10.08";"газета";"омонимия снята вручную";"42";"762";"н-возраст";"н-уровень";"большая";"И не беда, что нет шедевров― они опять же в избытке в постоянной экспозиции новой французской живописи. ";"1241:41:1"
" И";"ен";"И ";"не";" ";"беда, что на улице уже далеко";"Наталья Склярова. Если бы у медведя было ружье // «Вечерняя Москва», 2002.02.07";"Наталья Склярова";"";"Если бы у медведя было ружье";"2002";"публицистика";"статья";"частная жизнь";"«Вечерняя Москва»";"2002.02.07";"газета";"омонимия снята вручную";"149";"1846";"н-возраст";"н-уровень";"большая";"И не беда, что на улице уже далеко за полночь. ";"256:26:1"
" отэ ,удйан я от-укшыбоБ";"ен";"Бобышку-то я найду, это ";"не";" ";"беда…― толковал он, щупая саму дверь";"Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001";"Андрей Волос";"1955";"Недвижимость";"2000";"художественная";"роман";"";"«Новый Мир»";"2001";"журнал";"омонимия снята вручную";"9706";"79718";"н-возраст";"н-уровень";"большая";"Бобышку-то я найду, это не беда…― толковал он, щупая саму дверь заскорузлыми пальцами. ";"967:3452:5"
" кат ― ,ьсичюадижод сан ,еротнок в огонмен";"ен";"немного в конторе, нас дожидаючись, ― так ";"не";" ";"беда. ";"Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001";"Андрей Волос";"1955";"Недвижимость";"2000";"художественная";"роман";"";"«Новый Мир»";"2001";"журнал";"омонимия снята вручную";"9706";"79718";"н-возраст";"н-уровень";"большая";"А то, что посидят немного в конторе, нас дожидаючись, ― так не беда. ";"967:8184:10"
" оН";"ен";"Но ";"не";" ";"беда.  ";"Анатолий Азольский. Лопушок // «Новый Мир», 1998";"Анатолий Азольский";"1930";"Лопушок";"1998";"художественная";"роман";"";"«Новый Мир»";"1998";"журнал";"омонимия снята вручную";"3163";"51388";"н-возраст";"н-уровень";"большая";"Но не беда.  ";"873:3150:1"
"";"еН";"";"Не";" ";"беда!  ";"И. Грекова. Фазан (1984)";"И. Грекова";"1907";"Фазан";"1984";"художественная";"повесть";"";"На испытаниях";"1990";"книга";"омонимия снята вручную";"4142";"29901";"н-возраст";"н-уровень";"большая";"Не беда!  ";"915:2084:0"
"";"еН";"";"Не";" ";"беда! ― улыбнулся бы Медвежонок. ";"Сергей Козлов. Правда, мы будем всегда? (1969-1981)";"Сергей Козлов";"1939";"Правда, мы будем всегда?";"1969-1981";"художественная";"сказка | цикл";"";"";"";"книга";"омонимия снята вручную";"1743";"13813";"детский";"н-уровень";"большая";"Не беда! ― улыбнулся бы Медвежонок. ";"761:1213:0"
" отэ оН";"ен";"Но это ";"не";" ";"беда.  ";"Юрий Трифонов. Предварительные итоги (1970)";"Юрий Трифонов";"1925";"Предварительные итоги";"1970";"художественная";"повесть";"";"Трифонов Ю.А. Избранные произведения: В 2т";"1978";"книга";"омонимия снята вручную";"1835";"21818";"н-возраст";"н-уровень";"большая";"Но это не беда.  ";"865:368:2"
" ,мечорпВ";"ен";"Впрочем, ";"не";" ";"беда.  ";"И. Грекова. На испытаниях (1967)";"И. Грекова";"1907";"На испытаниях";"1967";"художественная";"повесть";"";"На испытаниях";"1990";"книга";"омонимия снята вручную";"5309";"39135";"н-возраст";"н-уровень";"большая";"Впрочем, не беда.  ";"919:4798:1"
" еще от-ьтсогортс отч ,лазакс Я";"ен";"Я сказал, что строгость-то еще ";"не";" ";"беда. ";"Ю. О. Домбровский. Хранитель древностей, часть 2 (1964)";"Ю. О. Домбровский";"1909";"Хранитель древностей, часть 2";"1964";"художественная";"роман";"";"Домбровский Ю.О. Собр. соч.: В 6 т. Т. 4";"1992";"книга";"омонимия снята вручную";"4648";"42243";"н-возраст";"н-уровень";"большая";"Я сказал, что строгость-то еще не беда. ";"896:2235:6"
